trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.99, 'e': 0.3244455298634257}",20,0,-59.61401438481315,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.99, 'e': 0.3212010745647914}",25,16,-59.20216440853065,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
114,False,"{'a': 0.99, 'e': 0.3179890638191435}",20,0,-25.035919834791425,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.99, 'e': 0.31480917318095203}",25,10,16.97747419604328,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.3116610814491425}",20,3,-61.64744849753696,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
117,False,"{'a': 0.99, 'e': 0.30854447063465107}",30,11,15.979871834486769,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.3054590259283046}",30,0,-163.28657758067484,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
119,False,"{'a': 0.99, 'e': 0.30240443566902153}",20,0,-49.84443171099542,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.99, 'e': 0.2993803913123313}",25,6,-23.640838649231487,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.99, 'e': 0.296386587399208}",30,11,18.098786566789606,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.99, 'e': 0.2934227215252159}",25,4,18.36633586656217,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.99, 'e': 0.29048849430996376}",25,10,-45.25291675068184,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
124,False,"{'a': 0.99, 'e': 0.2875836093668641}",25,2,9.48785381597821,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.99, 'e': 0.28470777327319546}",20,3,3.6002963521202034,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.2818606955404635}",25,17,15.309193635785563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.27904208858505886}",25,1,-66.953234765533,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
128,False,"{'a': 0.99, 'e': 0.2762516676992083}",20,0,-15.60155108768665,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.99, 'e': 0.2734891510222162}",20,11,-5.5260659316480165,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.99, 'e': 0.27075425951199406}",25,5,5.909875004334669,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.2680467169168741}",25,0,-68.59370944153602,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
132,False,"{'a': 0.99, 'e': 0.26536624974770534}",30,16,-2.503378152017002,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.99, 'e': 0.2627125872502283}",25,0,-28.329621000989796,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.99, 'e': 0.26008546137772603}",30,0,-26.435130314759334,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
135,False,"{'a': 0.99, 'e': 0.25748460676394874}",35,23,5.160618562741641,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.99, 'e': 0.2549097606963093}",20,0,0.38804233417661393,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.99, 'e': 0.2523606630893462}",20,10,18.11014624067823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.99, 'e': 0.2498370564584527}",25,0,-23.642305102413854,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 0.99, 'e': 0.24733868589386818}",30,0,31.623851270836532,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.99, 'e': 0.24486529903492948}",25,6,-3.8974087281601273,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.99, 'e': 0.2424166460445802}",20,6,9.632792094729894,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.99, 'e': 0.2399924795841344}",20,0,-88.77990034458385,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
143,False,"{'a': 0.99, 'e': 0.23759255478829303}",20,10,-3.6652168621591867,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.23521662924041012}",35,13,-78.43853305386078,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
145,False,"{'a': 0.99, 'e': 0.232864462948006}",30,19,21.260253137694235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.99, 'e': 0.23053581831852593}",25,14,12.119333079954652,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.22823046013534068}",20,0,28.088948657040145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.99, 'e': 0.22594815553398728}",30,14,-60.54698447511558,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 1}",1
149,False,"{'a': 0.99, 'e': 0.2236886739786474}",25,20,10.830272658253644,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.22145178723886091}",20,12,-20.733119407614158,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.99, 'e': 0.2192372693664723}",20,6,-28.909278367868133,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.99, 'e': 0.21704489667280757}",20,0,24.21428275774745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.99, 'e': 0.2148744477060795}",25,9,25.74635642835883,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.99, 'e': 0.2127257032290187}",30,13,-15.90108416532638,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.99, 'e': 0.21059844619672852}",20,12,12.57151844223278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.99, 'e': 0.20849246173476124}",20,5,10.664690944960507,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.99, 'e': 0.2064075371174136}",20,0,-22.421981915933323,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.99, 'e': 0.2043434617462395}",20,16,7.413028548999436,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.2023000271287771}",20,6,7.349241739127473,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.99, 'e': 0.2002770268574893}",25,13,6.886995739243396,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.99, 'e': 0.19827425658891443}",20,0,-55.44659914052989,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
162,False,"{'a': 0.99, 'e': 0.19629151402302528}",20,0,18.273992080579266,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.99, 'e': 0.19432859888279502}",30,10,21.036835578915685,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
